ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,tradeAmount,tradeAmount3,tradeAmount5,tradeAmount10,tradeAmount30,pctOfFloat,pctOfStock,stkShares,isEnd,managerRatio,custodianRatio,salesRatio,totalFee,indexUsageRatio,pctOfNav
162411,华宝油气股票A,80000250,华宝基金,80001068,建设银行,'SPG039,标普石油天然气上游股票总收益指数(美元),2011-09-29,"{'30706097': '杨洋', '30224465': '周晶'}",2011-09-29,Stock,股票,Index,传统指数型,LOF,LOF,GLOBAL_ALLOCATION,全球配置,SZSE,深交所上市,36.13,0.5111,人民币,0.48,0.0,18.65,26.09,32.94,50.56,75.54,126.08,17.44,-9.78,-4.09,-6.54,--,--,--,--,--,--,--,--,--,--,--,--,--,0.3,--,--,53708365.00,67849964.97,59769047.44,71768657.88,53992915.84,--,--,--,False,1.00,0.28,--,1.28,--,--
561800,华富稀有金属,80037023,华富基金,80001121,交通银行,'930632,CS稀金属,2021-08-11,"{'30232153': '李孝华', '30541550': '郜哲'}",2021-08-11,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,2.04,0.9728,人民币,-0.01,4.23,-8.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.78,--,--,1.57,--,--,9539030.00,11596515.33,11673994.00,13072389.40,26366006.27,--,--,--,False,0.50,0.10,--,0.60,--,--
562800,嘉实稀有金属,80000223,嘉实基金,80000135,中国银河,'930632,CS稀金属,2021-09-15,{'30695579': '田光远'},2021-09-15,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,5.49,0.9059,人民币,-0.01,4.19,-8.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.45,--,--,30787569.00,28646359.33,28480451.60,28535899.10,--,--,--,--,False,0.50,0.10,--,0.60,--,--
515220,国泰中证煤炭ETF,80000224,国泰基金,80001067,工商银行,'399998,中证煤炭,2020-01-20,{'30475190': '徐成城'},2020-01-20,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,37.62,2.3646,人民币,0.31,1.99,-2.92,38.19,64.0,83.68,79.64,97.08,--,--,--,--,1.15,1.0,0.46,0.61,--,--,--,--,--,0.44,0.79,--,--,0.08,--,--,489909047.00,527971716.00,533493231.40,496634495.20,464232381.77,--,--,--,False,0.50,0.10,--,0.63,0.03,--
008279,国泰煤炭联接A,80000224,国泰基金,80001067,工商银行,'399998,中证煤炭,2020-01-16,{'30316741': '谢东旭'},2020-01-16,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,3.86,2.2638,人民币,0.25,2.06,-2.52,33.33,61.2,80.69,76.87,92.96,--,--,--,--,1.05,0.98,0.43,0.56,--,--,--,--,--,0.42,0.68,--,--,0.4,--,--,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
168204,中融煤炭指数,80329448,中融基金,10000786,海通证券,'399998,中证煤炭,2021-01-01,{'30249815': '赵菲'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,1.44,1.72,人民币,0.3,2.33,-2.11,36.65,64.43,81.48,--,--,--,--,--,--,1.03,0.87,0.41,--,--,--,--,--,--,--,0.39,--,--,0.42,--,--,1795233.00,1524018.58,1204295.43,1141142.34,1916536.56,--,--,--,False,1.00,0.22,--,1.24,0.02,--
161032,富国煤炭指数A,80000221,富国基金,80000123,国泰君安,'399998,中证煤炭,2021-01-01,{'30072302': '张圣贤'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,5.76,1.854,人民币,0.28,1.99,-2.59,34.21,58.01,77.31,--,--,--,--,--,--,1.02,0.85,0.38,--,--,--,--,--,--,--,0.36,--,--,0.44,--,--,6965896.00,6448710.88,5314758.98,5561231.96,6728780.18,--,--,--,False,1.00,0.12,--,1.14,0.02,--
161724,招商煤炭等权A,80036782,招商基金,80001122,中国银行,'399990,煤炭等权,2021-01-01,{'30510736': '侯昊'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,9.09,1.8441,人民币,1.3,1.24,-2.59,36.34,61.76,78.59,--,--,--,--,--,--,1.05,0.7,0.34,--,--,--,--,--,--,--,0.31,--,--,0.38,--,--,3731468.00,3735223.06,2941490.10,2770115.35,2784809.26,--,--,--,False,1.00,0.22,--,1.24,0.02,--
561910,招商电池ETF,80036782,招商基金,80000074,光大证券,'931719,CS电池,2021-08-04,{'30698620': '许荣漫'},2021-08-04,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,1.59,1.0559,人民币,0.53,8.35,3.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.09,--,--,0.49,--,--,34521940.00,35509319.67,35242055.20,32629322.80,31304090.97,--,--,--,False,0.50,0.10,--,0.60,--,--
012862,添富电池指数A,80053708,汇添富,80001122,中国银行,'931719,CS电池,2021-08-11,{'30529631': '董瑾'},2021-08-11,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,2.38,1.0831,人民币,0.51,8.12,3.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.1,--,--,0.58,--,--,0.00,--,--,--,--,--,--,--,False,0.50,0.10,--,0.60,--,--
